+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0067      | 0.16          | 4.89         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.006       | 0.14          | 4.38         |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0054      | 0.13          | 3.95         |
| t4g.nano            | 2    | arm64      | 0.5      | None      |  0.0048      | 0.12          | 3.51         |
| t1.micro            | 1    | i386       | 0.6      | None      | N/A          | N/A           | N/A          |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0134      | 0.32          | 9.79         |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.012       | 0.29          | 8.77         |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0108      | 0.26          | 7.89         |
| t4g.micro           | 2    | arm64      | 1.0      | None      |  0.0096      | 0.23          | 7.01         |
| m1.small            | 1    | i386       | 1.7      | 160       | N/A          | N/A           | N/A          |
| c1.medium           | 2    | i386       | 1.7      | 350       | N/A          | N/A           | N/A          |
| a1.medium           | 1    | arm64      | 2.0      | None      |  0.0291      | 0.7           | 21.26        |
| c6g.medium          | 1    | arm64      | 2.0      | None      |  0.0388      | 0.93          | 28.35        |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0445      | 1.07          | 32.51        |
| c6gn.medium         | 1    | arm64      | 2.0      | None      |  0.0493      | 1.18          | 36.02        |
| c7a.medium          | 1    | x86_64     | 2.0      | None      |  0.05857     | 1.41          | 42.79        |
| c7g.medium          | 1    | arm64      | 2.0      | None      |  0.0412      | 0.99          | 30.1         |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0525      | 1.26          | 38.35        |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      |  0.04535     | 1.09          | 33.13        |
| t2.small            | 1    | i386       | 2.0      | None      |  0.0268      | 0.64          | 19.58        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.024       | 0.58          | 17.53        |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0216      | 0.52          | 15.78        |
| t4g.small           | 2    | arm64      | 2.0      | None      |  0.0192      | 0.46          | 14.03        |
| m1.medium           | 1    | i386       | 3.7      | 410       | N/A          | N/A           | N/A          |
| m3.medium           | 1    | x86_64     | 3.8      | 4         |  0.079       | 1.9           | 57.71        |
| c3.large            | 2    | i386       | 3.8      | 32        |  0.129       | 3.1           | 94.24        |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.114       | 2.74          | 83.28        |
| m6g.medium          | 1    | arm64      | 4.0      | None      |  0.046       | 1.1           | 33.61        |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0545      | 1.31          | 39.82        |
| m7a.medium          | 1    | x86_64     | 4.0      | None      |  0.06943     | 1.67          | 50.72        |
| m7g.medium          | 1    | arm64      | 4.0      | None      |  0.0489      | 1.17          | 35.72        |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0643      | 1.54          | 46.98        |
| m8g.medium          | 1    | arm64      | 4.0      | None      |  0.05377     | 1.29          | 39.28        |
| a1.large            | 2    | arm64      | 4.0      | None      |  0.0582      | 1.4           | 42.52        |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.097       | 2.33          | 70.86        |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.087       | 2.09          | 63.56        |
| c5ad.large          | 2    | x86_64     | 4.0      | 75        |  0.1         | 2.4           | 73.06        |
| c5d.large           | 2    | x86_64     | 4.0      | 50        |  0.111       | 2.66          | 81.09        |
| c6a.large           | 2    | x86_64     | 4.0      | None      |  0.0873      | 2.1           | 63.78        |
| c6g.large           | 2    | arm64      | 4.0      | None      |  0.0776      | 1.86          | 56.69        |
| c6gd.large          | 2    | arm64      | 4.0      | 118       |  0.089       | 2.14          | 65.02        |
| c6gn.large          | 2    | arm64      | 4.0      | None      |  0.0986      | 2.37          | 72.03        |
| c6i.large           | 2    | x86_64     | 4.0      | None      |  0.097       | 2.33          | 70.86        |
| c6id.large          | 2    | x86_64     | 4.0      | 118       |  0.11655     | 2.8           | 85.15        |
| c6in.large          | 2    | x86_64     | 4.0      | None      |  0.12915     | 3.1           | 94.35        |
| c7a.large           | 2    | x86_64     | 4.0      | None      |  0.11713     | 2.81          | 85.57        |
| c7g.large           | 2    | arm64      | 4.0      | None      |  0.0825      | 1.98          | 60.27        |
| c7gd.large          | 2    | arm64      | 4.0      | 118       |  0.1049      | 2.52          | 76.64        |
| c7gn.large          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.large      | 2    | x86_64     | 4.0      | None      |  0.09676     | 2.32          | 70.69        |
| c7i.large           | 2    | x86_64     | 4.0      | None      |  0.10185     | 2.44          | 74.41        |
| c8g.large           | 2    | arm64      | 4.0      | None      |  0.0907      | 2.18          | 66.26        |
| t2.medium           | 2    | i386       | 4.0      | None      |  0.0536      | 1.29          | 39.16        |
| t3.medium           | 2    | x86_64     | 4.0      | None      |  0.048       | 1.15          | 35.07        |
| t3a.medium          | 2    | x86_64     | 4.0      | None      |  0.0432      | 1.04          | 31.56        |
| t4g.medium          | 2    | arm64      | 4.0      | None      |  0.0384      | 0.92          | 28.05        |
| c5n.large           | 2    | x86_64     | 5.2      | None      |  0.123       | 2.95          | 89.86        |
| is4gen.medium       | 1    | arm64      | 6.0      | 937       |  0.17213     | 4.13          | 125.75       |
| c1.xlarge           | 8    | x86_64     | 7.0      | 1680      | N/A          | N/A           | N/A          |
| m1.large            | 2    | x86_64     | 7.5      | 840       | N/A          | N/A           | N/A          |
| m3.large            | 2    | x86_64     | 7.5      | 32        |  0.158       | 3.79          | 115.43       |
| c3.xlarge           | 4    | x86_64     | 7.5      | 80        |  0.258       | 6.19          | 188.48       |
| c4.xlarge           | 4    | x86_64     | 7.5      | None      |  0.227       | 5.45          | 165.84       |
| r6g.medium          | 1    | arm64      | 8.0      | None      |  0.0608      | 1.46          | 44.42        |
| r6gd.medium         | 1    | arm64      | 8.0      | 59        |  0.069       | 1.66          | 50.41        |
| r7a.medium          | 1    | x86_64     | 8.0      | None      |  0.09177     | 2.2           | 67.04        |
| r7g.medium          | 1    | arm64      | 8.0      | None      |  0.0646      | 1.55          | 47.19        |
| r7gd.medium         | 1    | arm64      | 8.0      | 59        |  0.0817      | 1.96          | 59.69        |
| r8g.medium          | 1    | arm64      | 8.0      | None      |  0.07106     | 1.71          | 51.91        |
| im4gn.large         | 2    | arm64      | 8.0      | 937       |  0.21688     | 5.21          | 158.44       |
| m4.large            | 2    | x86_64     | 8.0      | None      |  0.12        | 2.88          | 87.67        |
| m5.large            | 2    | x86_64     | 8.0      | None      |  0.115       | 2.76          | 84.01        |
| m5a.large           | 2    | x86_64     | 8.0      | None      |  0.104       | 2.5           | 75.98        |
| m5ad.large          | 2    | x86_64     | 8.0      | 75        |  0.125       | 3             | 91.32        |
| m5d.large           | 2    | x86_64     | 8.0      | 75        |  0.136       | 3.26          | 99.36        |
| m5dn.large          | 2    | x86_64     | 8.0      | 75        |  0.162       | 3.89          | 118.35       |
| m5n.large           | 2    | x86_64     | 8.0      | None      |  0.141       | 3.38          | 103.01       |
| m5zn.large          | 2    | x86_64     | 8.0      | None      |  0.1979      | 4.75          | 144.58       |
| m6a.large           | 2    | x86_64     | 8.0      | None      |  0.1035      | 2.48          | 75.61        |
| m6g.large           | 2    | arm64      | 8.0      | None      |  0.092       | 2.21          | 67.21        |
| m6gd.large          | 2    | arm64      | 8.0      | 118       |  0.109       | 2.62          | 79.63        |
| m6i.large           | 2    | x86_64     | 8.0      | None      |  0.115       | 2.76          | 84.01        |
| m6id.large          | 2    | x86_64     | 8.0      | 118       |  0.1428      | 3.43          | 104.32       |
| m6idn.large         | 2    | x86_64     | 8.0      | 118       |  0.18954     | 4.55          | 138.47       |
| m6in.large          | 2    | x86_64     | 8.0      | None      |  0.16497     | 3.96          | 120.52       |
| m7a.large           | 2    | x86_64     | 8.0      | None      |  0.13886     | 3.33          | 101.45       |
| m7g.large           | 2    | arm64      | 8.0      | None      |  0.0978      | 2.35          | 71.45        |
| m7gd.large          | 2    | arm64      | 8.0      | 118       |  0.1285      | 3.08          | 93.88        |
| m7i-flex.large      | 2    | x86_64     | 8.0      | None      |  0.11471     | 2.75          | 83.8         |
| m7i.large           | 2    | x86_64     | 8.0      | None      |  0.12075     | 2.9           | 88.22        |
| m8g.large           | 2    | arm64      | 8.0      | None      |  0.10754     | 2.58          | 78.56        |
| t2.large            | 2    | x86_64     | 8.0      | None      |  0.1072      | 2.57          | 78.32        |
| t3.large            | 2    | x86_64     | 8.0      | None      |  0.096       | 2.3           | 70.13        |
| t3a.large           | 2    | x86_64     | 8.0      | None      |  0.0864      | 2.07          | 63.12        |
| t4g.large           | 2    | arm64      | 8.0      | None      |  0.0768      | 1.84          | 56.11        |
| a1.xlarge           | 4    | arm64      | 8.0      | None      |  0.1164      | 2.79          | 85.04        |
| c5.xlarge           | 4    | x86_64     | 8.0      | None      |  0.194       | 4.66          | 141.73       |
| c5a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.174       | 4.18          | 127.12       |
| c5ad.xlarge         | 4    | x86_64     | 8.0      | 150       |  0.2         | 4.8           | 146.11       |
| c5d.xlarge          | 4    | x86_64     | 8.0      | 100       |  0.222       | 5.33          | 162.18       |
| c6a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.1746      | 4.19          | 127.56       |
| c6g.xlarge          | 4    | arm64      | 8.0      | None      |  0.1552      | 3.72          | 113.38       |
| c6gd.xlarge         | 4    | arm64      | 8.0      | 237       |  0.178       | 4.27          | 130.04       |
| c6gn.xlarge         | 4    | arm64      | 8.0      | None      |  0.1972      | 4.73          | 144.07       |
| c6i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.194       | 4.66          | 141.73       |
| c6id.xlarge         | 4    | x86_64     | 8.0      | 237       |  0.2331      | 5.59          | 170.29       |
| c6in.xlarge         | 4    | x86_64     | 8.0      | None      |  0.2583      | 6.2           | 188.7        |
| c7a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.23426     | 5.62          | 171.14       |
| c7g.xlarge          | 4    | arm64      | 8.0      | None      |  0.1649      | 3.96          | 120.47       |
| c7gd.xlarge         | 4    | arm64      | 8.0      | 237       |  0.2098      | 5.04          | 153.27       |
| c7gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.xlarge     | 4    | x86_64     | 8.0      | None      |  0.19352     | 4.64          | 141.38       |
| c7i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.2037      | 4.89          | 148.82       |
| c8g.xlarge          | 4    | arm64      | 8.0      | None      |  0.1814      | 4.35          | 132.52       |
| g5g.xlarge          | 4    | arm64      | 8.0      | None      |  0.5254      | 12.61         | 383.84       |
| inf1.xlarge         | 4    | x86_64     | 8.0      | None      |  0.285       | 6.84          | 208.21       |
| c5n.xlarge          | 4    | x86_64     | 10.5     | None      |  0.246       | 5.9           | 179.72       |
| is4gen.large        | 2    | arm64      | 12.0     | 1875      |  0.34425     | 8.26          | 251.5        |
| r3.large            | 2    | x86_64     | 15.0     | 32        |  0.2         | 4.8           | 146.11       |
| m1.xlarge           | 4    | x86_64     | 15.0     | 1680      | N/A          | N/A           | N/A          |
| m3.xlarge           | 4    | x86_64     | 15.0     | 80        |  0.315       | 7.56          | 230.13       |
| c3.2xlarge          | 8    | x86_64     | 15.0     | 160       |  0.516       | 12.38         | 376.97       |
| c4.2xlarge          | 8    | x86_64     | 15.0     | None      |  0.454       | 10.9          | 331.67       |
| i3.large            | 2    | x86_64     | 15.2     | 475       |  0.186       | 4.46          | 135.88       |
| r4.large            | 2    | x86_64     | 15.2     | None      |  0.16005     | 3.84          | 116.93       |
| x2gd.medium         | 1    | arm64      | 16.0     | 59        | N/A          | N/A           | N/A          |
| x8g.medium          | 1    | arm64      | 16.0     | None      |  0.13655     | 3.28          | 99.76        |
| i3en.large          | 2    | x86_64     | 16.0     | 1250      |  0.27        | 6.48          | 197.25       |
| i4g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| i4i.large           | 2    | x86_64     | 16.0     | 468       |  0.205       | 4.92          | 149.76       |
| i7ie.large          | 2    | x86_64     | 16.0     | 1250      |  0.3105      | 7.45          | 226.84       |
| i8g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| r5.large            | 2    | x86_64     | 16.0     | None      |  0.152       | 3.65          | 111.05       |
| r5a.large           | 2    | x86_64     | 16.0     | None      |  0.137       | 3.29          | 100.09       |
| r5ad.large          | 2    | x86_64     | 16.0     | 75        |  0.158       | 3.79          | 115.43       |
