+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0058      | 0.14          | 4.24         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.0052      | 0.12          | 3.8          |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0047      | 0.11          | 3.43         |
| t4g.nano            | 2    | arm64      | 0.5      | None      |  0.0042      | 0.1           | 3.07         |
| t1.micro            | 1    | i386       | 0.6      | None      |  0.02        | 0.48          | 14.61        |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0116      | 0.28          | 8.47         |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0104      | 0.25          | 7.6          |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0094      | 0.23          | 6.87         |
| t4g.micro           | 2    | arm64      | 1.0      | None      |  0.0084      | 0.2           | 6.14         |
| m1.small            | 1    | i386       | 1.7      | 160       |  0.044       | 1.06          | 32.14        |
| c1.medium           | 2    | i386       | 1.7      | 350       |  0.13        | 3.12          | 94.97        |
| a1.medium           | 1    | arm64      | 2.0      | None      |  0.0255      | 0.61          | 18.63        |
| c6g.medium          | 1    | arm64      | 2.0      | None      |  0.034       | 0.82          | 24.84        |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0384      | 0.92          | 28.05        |
| c6gn.medium         | 1    | arm64      | 2.0      | None      |  0.0432      | 1.04          | 31.56        |
| c7a.medium          | 1    | x86_64     | 2.0      | None      |  0.05132     | 1.23          | 37.49        |
| c7g.medium          | 1    | arm64      | 2.0      | None      |  0.0363      | 0.87          | 26.52        |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0454      | 1.09          | 33.17        |
| c7gn.medium         | 1    | arm64      | 2.0      | None      |  0.0624      | 1.5           | 45.59        |
| c8g.medium          | 1    | arm64      | 2.0      | None      |  0.03988     | 0.96          | 29.13        |
| t2.small            | 1    | i386       | 2.0      | None      |  0.023       | 0.55          | 16.8         |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0208      | 0.5           | 15.2         |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0188      | 0.45          | 13.73        |
| t4g.small           | 2    | arm64      | 2.0      | None      |  0.0168      | 0.4           | 12.27        |
| m1.medium           | 1    | i386       | 3.7      | 410       |  0.087       | 2.09          | 63.56        |
| m3.medium           | 1    | x86_64     | 3.8      | 4         |  0.067       | 1.61          | 48.95        |
| c3.large            | 2    | i386       | 3.8      | 32        |  0.105       | 2.52          | 76.71        |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.1         | 2.4           | 73.06        |
| m6g.medium          | 1    | arm64      | 4.0      | None      |  0.0385      | 0.92          | 28.13        |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0452      | 1.08          | 33.02        |
| m7a.medium          | 1    | x86_64     | 4.0      | None      |  0.05796     | 1.39          | 42.34        |
| m7g.medium          | 1    | arm64      | 4.0      | None      |  0.0408      | 0.98          | 29.81        |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0534      | 1.28          | 39.01        |
| m8g.medium          | 1    | arm64      | 4.0      | None      |  0.04488     | 1.08          | 32.79        |
| a1.large            | 2    | arm64      | 4.0      | None      |  0.051       | 1.22          | 37.26        |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.085       | 2.04          | 62.1         |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.077       | 1.85          | 56.25        |
