+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| r7g.medium          | 1    | arm64      | 8.0      | None      |  0.0595      | 1.43          | 43.47        |
| r7gd.medium         | 1    | arm64      | 8.0      | 59        |  0.0765      | 1.84          | 55.89        |
| r8g.medium          | 1    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| im4gn.large         | 2    | arm64      | 8.0      | 937       | N/A          | N/A           | N/A          |
| m4.large            | 2    | x86_64     | 8.0      | None      |  0.117       | 2.81          | 85.48        |
| m5.large            | 2    | x86_64     | 8.0      | None      |  0.112       | 2.69          | 81.82        |
| m5a.large           | 2    | x86_64     | 8.0      | None      |  0.101       | 2.42          | 73.79        |
| m5ad.large          | 2    | x86_64     | 8.0      | 75        |  0.122       | 2.93          | 89.13        |
| m5d.large           | 2    | x86_64     | 8.0      | 75        |  0.133       | 3.19          | 97.16        |
| m5dn.large          | 2    | x86_64     | 8.0      | 75        | N/A          | N/A           | N/A          |
| m5n.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m5zn.large          | 2    | x86_64     | 8.0      | None      |  0.1927      | 4.62          | 140.78       |
| m6a.large           | 2    | x86_64     | 8.0      | None      |  0.1008      | 2.42          | 73.64        |
| m6g.large           | 2    | arm64      | 8.0      | None      |  0.0896      | 2.15          | 65.46        |
| m6gd.large          | 2    | arm64      | 8.0      | 118       |  0.106       | 2.54          | 77.44        |
| m6i.large           | 2    | x86_64     | 8.0      | None      |  0.112       | 2.69          | 81.82        |
| m6id.large          | 2    | x86_64     | 8.0      | 118       | N/A          | N/A           | N/A          |
| m6idn.large         | 2    | x86_64     | 8.0      | 118       |  0.18344     | 4.4           | 134.01       |
| m6in.large          | 2    | x86_64     | 8.0      | None      |  0.16244     | 3.9           | 118.67       |
| m7a.large           | 2    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| m7g.large           | 2    | arm64      | 8.0      | None      |  0.0952      | 2.28          | 69.55        |
| m7gd.large          | 2    | arm64      | 8.0      | 118       |  0.1257      | 3.02          | 91.83        |
| m7i-flex.large      | 2    | x86_64     | 8.0      | None      |  0.11172     | 2.68          | 81.62        |
| m7i.large           | 2    | x86_64     | 8.0      | None      |  0.1176      | 2.82          | 85.91        |
| m8g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| t2.large            | 2    | x86_64     | 8.0      | None      |  0.1104      | 2.65          | 80.65        |
| t3.large            | 2    | x86_64     | 8.0      | None      |  0.0992      | 2.38          | 72.47        |
| t3a.large           | 2    | x86_64     | 8.0      | None      |  0.0893      | 2.14          | 65.24        |
| t4g.large           | 2    | arm64      | 8.0      | None      |  0.08        | 1.92          | 58.44        |
| a1.xlarge           | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c5.xlarge           | 4    | x86_64     | 8.0      | None      |  0.212       | 5.09          | 154.88       |
| c5a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.19        | 4.56          | 138.81       |
| c5ad.xlarge         | 4    | x86_64     | 8.0      | 150       | N/A          | N/A           | N/A          |
| c5d.xlarge          | 4    | x86_64     | 8.0      | 100       |  0.24        | 5.76          | 175.33       |
| c6a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.1908      | 4.58          | 139.39       |
| c6g.xlarge          | 4    | arm64      | 8.0      | None      |  0.1696      | 4.07          | 123.9        |
| c6gd.xlarge         | 4    | arm64      | 8.0      | 237       |  0.192       | 4.61          | 140.27       |
| c6gn.xlarge         | 4    | arm64      | 8.0      | None      |  0.216       | 5.18          | 157.8        |
| c6i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.212       | 5.09          | 154.88       |
| c6id.xlarge         | 4    | x86_64     | 8.0      | 237       | N/A          | N/A           | N/A          |
| c6in.xlarge         | 4    | x86_64     | 8.0      | None      |  0.2835      | 6.8           | 207.11       |
| c7a.xlarge          | 4    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| c7g.xlarge          | 4    | arm64      | 8.0      | None      |  0.1802      | 4.32          | 131.65       |
