+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| r7gd.medium         | 1    | arm64      | 8.0      | 59        | N/A          | N/A           | N/A          |
| r8g.medium          | 1    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| im4gn.large         | 2    | arm64      | 8.0      | 937       | N/A          | N/A           | N/A          |
| m4.large            | 2    | x86_64     | 8.0      | None      |  0.1         | 2.4           | 73.06        |
| m5.large            | 2    | x86_64     | 8.0      | None      |  0.096       | 2.3           | 70.13        |
| m5a.large           | 2    | x86_64     | 8.0      | None      |  0.086       | 2.06          | 62.83        |
| m5ad.large          | 2    | x86_64     | 8.0      | 75        |  0.195       | 4.68          | 142.46       |
| m5d.large           | 2    | x86_64     | 8.0      | 75        |  0.113       | 2.71          | 82.55        |
| m5dn.large          | 2    | x86_64     | 8.0      | 75        |  0.228       | 5.47          | 166.57       |
| m5n.large           | 2    | x86_64     | 8.0      | None      |  0.119       | 2.86          | 86.94        |
| m5zn.large          | 2    | x86_64     | 8.0      | None      |  0.2572      | 6.17          | 187.9        |
| m6a.large           | 2    | x86_64     | 8.0      | None      |  0.1784      | 4.28          | 130.33       |
| m6g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| m6gd.large          | 2    | arm64      | 8.0      | 118       | N/A          | N/A           | N/A          |
| m6i.large           | 2    | x86_64     | 8.0      | None      |  0.188       | 4.51          | 137.35       |
| m6id.large          | 2    | x86_64     | 8.0      | 118       |  0.21065     | 5.06          | 153.89       |
| m6idn.large         | 2    | x86_64     | 8.0      | 118       |  0.15912     | 3.82          | 116.25       |
| m6in.large          | 2    | x86_64     | 8.0      | None      |  0.23123     | 5.55          | 168.93       |
| m7a.large           | 2    | x86_64     | 8.0      | None      |  0.11592     | 2.78          | 84.69        |
| m7g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| m7gd.large          | 2    | arm64      | 8.0      | 118       | N/A          | N/A           | N/A          |
| m7i-flex.large      | 2    | x86_64     | 8.0      | None      |  0.09576     | 2.3           | 69.96        |
| m7i.large           | 2    | x86_64     | 8.0      | None      |  0.1928      | 4.63          | 140.85       |
| m8g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| t2.large            | 2    | x86_64     | 8.0      | None      |  0.0928      | 2.23          | 67.8         |
| t3.large            | 2    | x86_64     | 8.0      | None      |  0.0832      | 2             | 60.78        |
| t3a.large           | 2    | x86_64     | 8.0      | None      |  0.0752      | 1.8           | 54.94        |
| t4g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| a1.xlarge           | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c5.xlarge           | 4    | x86_64     | 8.0      | None      |  0.354       | 8.5           | 258.62       |
| c5a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.338       | 8.11          | 246.93       |
| c5ad.xlarge         | 4    | x86_64     | 8.0      | 150       |  0.356       | 8.54          | 260.08       |
| c5d.xlarge          | 4    | x86_64     | 8.0      | 100       |  0.376       | 9.02          | 274.69       |
| c6a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.337       | 8.09          | 246.2        |
| c6g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c6gd.xlarge         | 4    | arm64      | 8.0      | 237       | N/A          | N/A           | N/A          |
| c6gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c6i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.354       | 8.5           | 258.62       |
| c6id.xlarge         | 4    | x86_64     | 8.0      | 237       |  0.2016      | 4.84          | 147.28       |
| c6in.xlarge         | 4    | x86_64     | 8.0      | None      |  0.2268      | 5.44          | 165.69       |
| c7a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.38928     | 9.34          | 284.39       |
| c7g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7gd.xlarge         | 4    | arm64      | 8.0      | 237       | N/A          | N/A           | N/A          |
| c7gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.xlarge     | 4    | x86_64     | 8.0      | None      |  0.34438     | 8.27          | 251.59       |
| c7i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.1785      | 4.28          | 130.4        |
| c8g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| g5g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| inf1.xlarge         | 4    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| c5n.xlarge          | 4    | x86_64     | 10.5     | None      |  0.4         | 9.6           | 292.22       |
| is4gen.large        | 2    | arm64      | 12.0     | 1875      | N/A          | N/A           | N/A          |
| r3.large            | 2    | x86_64     | 15.0     | 32        |  0.166       | 3.98          | 121.27       |
| m1.xlarge           | 4    | x86_64     | 15.0     | 1680      |  0.35        | 8.4           | 255.7        |
| m3.xlarge           | 4    | x86_64     | 15.0     | 80        |  0.518       | 12.43         | 378.43       |
| c3.2xlarge          | 8    | x86_64     | 15.0     | 160       |  0.752       | 18.05         | 549.38       |
| c4.2xlarge          | 8    | x86_64     | 15.0     | None      |  0.398       | 9.55          | 290.76       |
| i3.large            | 2    | x86_64     | 15.2     | 475       |  0.248       | 5.95          | 181.18       |
| r4.large            | 2    | x86_64     | 15.2     | None      |  0.133       | 3.19          | 97.16        |
| x2gd.medium         | 1    | arm64      | 16.0     | 59        | N/A          | N/A           | N/A          |
| x8g.medium          | 1    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| i3en.large          | 2    | x86_64     | 16.0     | 1250      |  0.318       | 7.63          | 232.32       |
| i4g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| i4i.large           | 2    | x86_64     | 16.0     | 468       |  0.264       | 6.34          | 192.87       |
| i7ie.large          | 2    | x86_64     | 16.0     | 1250      |  0.2599      | 6.24          | 189.87       |
| i8g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| r5.large            | 2    | x86_64     | 16.0     | None      |  0.218       | 5.23          | 159.26       |
| r5a.large           | 2    | x86_64     | 16.0     | None      |  0.113       | 2.71          | 82.55        |
