+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0076      | 0.18          | 5.55         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.0068      | 0.16          | 4.97         |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.0061      | 0.15          | 4.46         |
| t4g.nano            | 2    | arm64      | 0.5      | None      |  0.0054      | 0.13          | 3.95         |
| t1.micro            | 1    | i386       | 0.6      | None      |  0.026       | 0.62          | 18.99        |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.0152      | 0.36          | 11.1         |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0136      | 0.33          | 9.94         |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.0122      | 0.29          | 8.91         |
| t4g.micro           | 2    | arm64      | 1.0      | None      |  0.0108      | 0.26          | 7.89         |
| m1.small            | 1    | i386       | 1.7      | 160       |  0.061       | 1.46          | 44.56        |
| c1.medium           | 2    | i386       | 1.7      | 350       |  0.158       | 3.79          | 115.43       |
| a1.medium           | 1    | arm64      | 2.0      | None      |  0.0321      | 0.77          | 23.45        |
| c6g.medium          | 1    | arm64      | 2.0      | None      |  0.0428      | 1.03          | 31.27        |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        |  0.049       | 1.18          | 35.8         |
| c6gn.medium         | 1    | arm64      | 2.0      | None      |  0.0545      | 1.31          | 39.82        |
| c7a.medium          | 1    | x86_64     | 2.0      | None      |  0.0646      | 1.55          | 47.19        |
| c7g.medium          | 1    | arm64      | 2.0      | None      |  0.0455      | 1.09          | 33.24        |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        |  0.0577      | 1.38          | 42.15        |
| c7gn.medium         | 1    | arm64      | 2.0      | None      |  0.0787      | 1.89          | 57.5         |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      |  0.0304      | 0.73          | 22.21        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0272      | 0.65          | 19.87        |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.0245      | 0.59          | 17.9         |
| t4g.small           | 2    | arm64      | 2.0      | None      |  0.0216      | 0.52          | 15.78        |
| m1.medium           | 1    | i386       | 3.7      | 410       |  0.122       | 2.93          | 89.13        |
| m3.medium           | 1    | x86_64     | 3.8      | 4         |  0.096       | 2.3           | 70.13        |
| c3.large            | 2    | i386       | 3.8      | 32        |  0.128       | 3.07          | 93.51        |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.126       | 3.02          | 92.05        |
| m6g.medium          | 1    | arm64      | 4.0      | None      |  0.0495      | 1.19          | 36.16        |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        |  0.0585      | 1.4           | 42.74        |
| m7a.medium          | 1    | x86_64     | 4.0      | None      |  0.07487     | 1.8           | 54.7         |
| m7g.medium          | 1    | arm64      | 4.0      | None      |  0.0527      | 1.26          | 38.5         |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        |  0.069       | 1.66          | 50.41        |
| m8g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| a1.large            | 2    | arm64      | 4.0      | None      |  0.0642      | 1.54          | 46.9         |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.107       | 2.57          | 78.17        |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.096       | 2.3           | 70.13        |
| c5ad.large          | 2    | x86_64     | 4.0      | 75        | N/A          | N/A           | N/A          |
| c5d.large           | 2    | x86_64     | 4.0      | 50        |  0.122       | 2.93          | 89.13        |
| c6a.large           | 2    | x86_64     | 4.0      | None      |  0.0963      | 2.31          | 70.35        |
| c6g.large           | 2    | arm64      | 4.0      | None      |  0.0856      | 2.05          | 62.54        |
| c6gd.large          | 2    | arm64      | 4.0      | 118       |  0.098       | 2.35          | 71.59        |
| c6gn.large          | 2    | arm64      | 4.0      | None      |  0.109       | 2.62          | 79.63        |
| c6i.large           | 2    | x86_64     | 4.0      | None      |  0.107       | 2.57          | 78.17        |
| c6id.large          | 2    | x86_64     | 4.0      | 118       |  0.1281      | 3.07          | 93.58        |
| c6in.large          | 2    | x86_64     | 4.0      | None      |  0.1428      | 3.43          | 104.32       |
| c7a.large           | 2    | x86_64     | 4.0      | None      |  0.1292      | 3.1           | 94.39        |
| c7g.large           | 2    | arm64      | 4.0      | None      |  0.091       | 2.18          | 66.48        |
| c7gd.large          | 2    | arm64      | 4.0      | 118       |  0.1153      | 2.77          | 84.23        |
| c7gn.large          | 2    | arm64      | 4.0      | None      |  0.1574      | 3.78          | 114.99       |
| c7i-flex.large      | 2    | x86_64     | 4.0      | None      |  0.10673     | 2.56          | 77.97        |
| c7i.large           | 2    | x86_64     | 4.0      | None      |  0.11235     | 2.7           | 82.08        |
| c8g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| t2.medium           | 2    | i386       | 4.0      | None      |  0.0608      | 1.46          | 44.42        |
| t3.medium           | 2    | x86_64     | 4.0      | None      |  0.0544      | 1.31          | 39.74        |
| t3a.medium          | 2    | x86_64     | 4.0      | None      |  0.049       | 1.18          | 35.8         |
| t4g.medium          | 2    | arm64      | 4.0      | None      |  0.0432      | 1.04          | 31.56        |
| c5n.large           | 2    | x86_64     | 5.2      | None      |  0.136       | 3.26          | 99.36        |
| is4gen.medium       | 1    | arm64      | 6.0      | 937       |  0.16958     | 4.07          | 123.89       |
| c1.xlarge           | 8    | x86_64     | 7.0      | 1680      |  0.632       | 15.17         | 461.71       |
