+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| t2.nano             | 1    | i386       | 0.5      | None      |  0.0067      | 0.16          | 4.89         |
| t3.nano             | 2    | x86_64     | 0.5      | None      |  0.006       | 0.14          | 4.38         |
| t3a.nano            | 2    | x86_64     | 0.5      | None      |  0.01        | 0.24          | 7.31         |
| t4g.nano            | 2    | arm64      | 0.5      | None      | N/A          | N/A           | N/A          |
| t1.micro            | 1    | i386       | 0.6      | None      | N/A          | N/A           | N/A          |
| t2.micro            | 1    | i386       | 1.0      | None      |  0.018       | 0.43          | 13.15        |
| t3.micro            | 2    | x86_64     | 1.0      | None      |  0.0212      | 0.51          | 15.49        |
| t3a.micro           | 2    | x86_64     | 1.0      | None      |  0.02        | 0.48          | 14.61        |
| t4g.micro           | 2    | arm64      | 1.0      | None      | N/A          | N/A           | N/A          |
| m1.small            | 1    | i386       | 1.7      | 160       | N/A          | N/A           | N/A          |
| c1.medium           | 2    | i386       | 1.7      | 350       | N/A          | N/A           | N/A          |
| a1.medium           | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c6gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c6gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c7a.medium          | 1    | x86_64     | 2.0      | None      |  0.05857     | 1.41          | 42.79        |
| c7g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c7gd.medium         | 1    | arm64      | 2.0      | 59        | N/A          | N/A           | N/A          |
| c7gn.medium         | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| c8g.medium          | 1    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| t2.small            | 1    | i386       | 2.0      | None      |  0.0268      | 0.64          | 19.58        |
| t3.small            | 2    | x86_64     | 2.0      | None      |  0.0424      | 1.02          | 30.98        |
| t3a.small           | 2    | x86_64     | 2.0      | None      |  0.04        | 0.96          | 29.22        |
| t4g.small           | 2    | arm64      | 2.0      | None      | N/A          | N/A           | N/A          |
| m1.medium           | 1    | i386       | 3.7      | 410       | N/A          | N/A           | N/A          |
| m3.medium           | 1    | x86_64     | 3.8      | 4         |  0.142       | 3.41          | 103.74       |
| c3.large            | 2    | i386       | 3.8      | 32        |  0.212       | 5.09          | 154.88       |
| c4.large            | 2    | x86_64     | 3.8      | None      |  0.206       | 4.94          | 150.5        |
| m6g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| m6gd.medium         | 1    | arm64      | 4.0      | 59        | N/A          | N/A           | N/A          |
| m7a.medium          | 1    | x86_64     | 4.0      | None      |  0.06943     | 1.67          | 50.72        |
| m7g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| m7gd.medium         | 1    | arm64      | 4.0      | 59        | N/A          | N/A           | N/A          |
| m8g.medium          | 1    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| a1.large            | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5.large            | 2    | x86_64     | 4.0      | None      |  0.189       | 4.54          | 138.08       |
| c5a.large           | 2    | x86_64     | 4.0      | None      |  0.179       | 4.3           | 130.77       |
| c5ad.large          | 2    | x86_64     | 4.0      | 75        |  0.192       | 4.61          | 140.27       |
| c5d.large           | 2    | x86_64     | 4.0      | 50        |  0.203       | 4.87          | 148.3        |
| c6a.large           | 2    | x86_64     | 4.0      | None      |  0.1793      | 4.3           | 130.99       |
| c6g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c6gd.large          | 2    | arm64      | 4.0      | 118       | N/A          | N/A           | N/A          |
| c6gn.large          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c6i.large           | 2    | x86_64     | 4.0      | None      |  0.097       | 2.33          | 70.86        |
| c6id.large          | 2    | x86_64     | 4.0      | 118       |  0.11655     | 2.8           | 85.15        |
| c6in.large          | 2    | x86_64     | 4.0      | None      |  0.22115     | 5.31          | 161.56       |
| c7a.large           | 2    | x86_64     | 4.0      | None      |  0.11713     | 2.81          | 85.57        |
| c7g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c7gd.large          | 2    | arm64      | 4.0      | 118       | N/A          | N/A           | N/A          |
| c7gn.large          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.large      | 2    | x86_64     | 4.0      | None      |  0.09676     | 2.32          | 70.69        |
| c7i.large           | 2    | x86_64     | 4.0      | None      |  0.19385     | 4.65          | 141.62       |
| c8g.large           | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| t2.medium           | 2    | i386       | 4.0      | None      |  0.0536      | 1.29          | 39.16        |
| t3.medium           | 2    | x86_64     | 4.0      | None      |  0.0664      | 1.59          | 48.51        |
| t3a.medium          | 2    | x86_64     | 4.0      | None      |  0.0616      | 1.48          | 45           |
| t4g.medium          | 2    | arm64      | 4.0      | None      | N/A          | N/A           | N/A          |
| c5n.large           | 2    | x86_64     | 5.2      | None      |  0.215       | 5.16          | 157.07       |
| is4gen.medium       | 1    | arm64      | 6.0      | 937       | N/A          | N/A           | N/A          |
| c1.xlarge           | 8    | x86_64     | 7.0      | 1680      | N/A          | N/A           | N/A          |
| m1.large            | 2    | x86_64     | 7.5      | 840       | N/A          | N/A           | N/A          |
| m3.large            | 2    | x86_64     | 7.5      | 32        |  0.284       | 6.82          | 207.48       |
| c3.xlarge           | 4    | x86_64     | 7.5      | 80        |  0.424       | 10.18         | 309.76       |
| c4.xlarge           | 4    | x86_64     | 7.5      | None      |  0.227       | 5.45          | 165.84       |
| r6g.medium          | 1    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| r6gd.medium         | 1    | arm64      | 8.0      | 59        | N/A          | N/A           | N/A          |
| r7a.medium          | 1    | x86_64     | 8.0      | None      |  0.09177     | 2.2           | 67.04        |
| r7g.medium          | 1    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| r7gd.medium         | 1    | arm64      | 8.0      | 59        | N/A          | N/A           | N/A          |
| r8g.medium          | 1    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| im4gn.large         | 2    | arm64      | 8.0      | 937       | N/A          | N/A           | N/A          |
| m4.large            | 2    | x86_64     | 8.0      | None      |  0.12        | 2.88          | 87.67        |
| m5.large            | 2    | x86_64     | 8.0      | None      |  0.115       | 2.76          | 84.01        |
| m5a.large           | 2    | x86_64     | 8.0      | None      |  0.196       | 4.7           | 143.19       |
| m5ad.large          | 2    | x86_64     | 8.0      | 75        |  0.217       | 5.21          | 158.53       |
| m5d.large           | 2    | x86_64     | 8.0      | 75        |  0.136       | 3.26          | 99.36        |
| m5dn.large          | 2    | x86_64     | 8.0      | 75        |  0.254       | 6.1           | 185.56       |
| m5n.large           | 2    | x86_64     | 8.0      | None      |  0.141       | 3.38          | 103.01       |
| m5zn.large          | 2    | x86_64     | 8.0      | None      |  0.2899      | 6.96          | 211.79       |
| m6a.large           | 2    | x86_64     | 8.0      | None      |  0.1955      | 4.69          | 142.82       |
| m6g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| m6gd.large          | 2    | arm64      | 8.0      | 118       | N/A          | N/A           | N/A          |
| m6i.large           | 2    | x86_64     | 8.0      | None      |  0.115       | 2.76          | 84.01        |
| m6id.large          | 2    | x86_64     | 8.0      | 118       |  0.1428      | 3.43          | 104.32       |
| m6idn.large         | 2    | x86_64     | 8.0      | 118       |  0.18954     | 4.55          | 138.47       |
| m6in.large          | 2    | x86_64     | 8.0      | None      |  0.25697     | 6.17          | 187.73       |
| m7a.large           | 2    | x86_64     | 8.0      | None      |  0.23086     | 5.54          | 168.66       |
| m7g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| m7gd.large          | 2    | arm64      | 8.0      | 118       | N/A          | N/A           | N/A          |
| m7i-flex.large      | 2    | x86_64     | 8.0      | None      |  0.11471     | 2.75          | 83.8         |
| m7i.large           | 2    | x86_64     | 8.0      | None      |  0.21275     | 5.11          | 155.43       |
| m8g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| t2.large            | 2    | x86_64     | 8.0      | None      |  0.1072      | 2.57          | 78.32        |
| t3.large            | 2    | x86_64     | 8.0      | None      |  0.1236      | 2.97          | 90.3         |
| t3a.large           | 2    | x86_64     | 8.0      | None      |  0.114       | 2.74          | 83.28        |
| t4g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| a1.xlarge           | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c5.xlarge           | 4    | x86_64     | 8.0      | None      |  0.194       | 4.66          | 141.73       |
| c5a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.358       | 8.59          | 261.54       |
| c5ad.xlarge         | 4    | x86_64     | 8.0      | 150       |  0.384       | 9.22          | 280.54       |
| c5d.xlarge          | 4    | x86_64     | 8.0      | 100       |  0.222       | 5.33          | 162.18       |
| c6a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.3586      | 8.61          | 261.98       |
| c6g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c6gd.xlarge         | 4    | arm64      | 8.0      | 237       | N/A          | N/A           | N/A          |
| c6gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c6i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.194       | 4.66          | 141.73       |
| c6id.xlarge         | 4    | x86_64     | 8.0      | 237       |  0.2331      | 5.59          | 170.29       |
| c6in.xlarge         | 4    | x86_64     | 8.0      | None      |  0.2583      | 6.2           | 188.7        |
| c7a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.41826     | 10.04         | 305.56       |
| c7g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7gd.xlarge         | 4    | arm64      | 8.0      | 237       | N/A          | N/A           | N/A          |
| c7gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.xlarge     | 4    | x86_64     | 8.0      | None      |  0.19352     | 4.64          | 141.38       |
| c7i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.3877      | 9.3           | 283.24       |
| c8g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| g5g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| inf1.xlarge         | 4    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| c5n.xlarge          | 4    | x86_64     | 10.5     | None      |  0.43        | 10.32         | 314.14       |
| is4gen.large        | 2    | arm64      | 12.0     | 1875      | N/A          | N/A           | N/A          |
| r3.large            | 2    | x86_64     | 15.0     | 32        |  0.2         | 4.8           | 146.11       |
| m1.xlarge           | 4    | x86_64     | 15.0     | 1680      | N/A          | N/A           | N/A          |
| m3.xlarge           | 4    | x86_64     | 15.0     | 80        |  0.567       | 13.61         | 414.23       |
| c3.2xlarge          | 8    | x86_64     | 15.0     | 160       |  0.848       | 20.35         | 619.51       |
| c4.2xlarge          | 8    | x86_64     | 15.0     | None      |  0.822       | 19.73         | 600.52       |
| i3.large            | 2    | x86_64     | 15.2     | 475       |  0.278       | 6.67          | 203.1        |
| r4.large            | 2    | x86_64     | 15.2     | None      |  0.25205     | 6.05          | 184.14       |
| x2gd.medium         | 1    | arm64      | 16.0     | 59        | N/A          | N/A           | N/A          |
| x8g.medium          | 1    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| i3en.large          | 2    | x86_64     | 16.0     | 1250      |  0.362       | 8.69          | 264.46       |
| i4g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| i4i.large           | 2    | x86_64     | 16.0     | 468       |  0.297       | 7.13          | 216.98       |
| i7ie.large          | 2    | x86_64     | 16.0     | 1250      |  0.3105      | 7.45          | 226.84       |
| i8g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| r5.large            | 2    | x86_64     | 16.0     | None      |  0.244       | 5.86          | 178.26       |
| r5a.large           | 2    | x86_64     | 16.0     | None      |  0.229       | 5.5           | 167.3        |
| r5ad.large          | 2    | x86_64     | 16.0     | 75        |  0.25        | 6             | 182.64       |
| r5b.large           | 2    | x86_64     | 16.0     | None      |  0.27        | 6.48          | 197.25       |
| r5d.large           | 2    | x86_64     | 16.0     | 75        |  0.265       | 6.36          | 193.6        |
| r5dn.large          | 2    | x86_64     | 16.0     | 75        |  0.291       | 6.98          | 212.59       |
| r5n.large           | 2    | x86_64     | 16.0     | None      |  0.27        | 6.48          | 197.25       |
