+-------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type     | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| m5d.large         | 2    | x86_64     | 8.0      | 75        |  0.141       | 3.38          | 103.01       |
| m5dn.large        | 2    | x86_64     | 8.0      | 75        |  0.167       | 4.01          | 122          |
| m5n.large         | 2    | x86_64     | 8.0      | None      |  0.146       | 3.5           | 106.66       |
| m5zn.large        | 2    | x86_64     | 8.0      | None      |  0.2065      | 4.96          | 150.86       |
| m6a.large         | 2    | x86_64     | 8.0      | None      |  0.108       | 2.59          | 78.9         |
| m6g.large         | 2    | arm64      | 8.0      | None      |  0.096       | 2.3           | 70.13        |
| m6gd.large        | 2    | arm64      | 8.0      | 118       |  0.113       | 2.71          | 82.55        |
| m6i.large         | 2    | x86_64     | 8.0      | None      |  0.12        | 2.88          | 87.67        |
| m6id.large        | 2    | x86_64     | 8.0      | 118       |  0.14805     | 3.55          | 108.16       |
| m6idn.large       | 2    | x86_64     | 8.0      | 118       |  0.19539     | 4.69          | 142.74       |
| m6in.large        | 2    | x86_64     | 8.0      | None      |  0.17082     | 4.1           | 124.79       |
| m7g.large         | 2    | arm64      | 8.0      | None      |  0.102       | 2.45          | 74.52        |
| m7gd.large        | 2    | arm64      | 8.0      | 118       |  0.1332      | 3.2           | 97.31        |
| m7i-flex.large    | 2    | x86_64     | 8.0      | None      |  0.1197      | 2.87          | 87.45        |
| m7i.large         | 2    | x86_64     | 8.0      | None      |  0.126       | 3.02          | 92.05        |
| t2.large          | 2    | x86_64     | 8.0      | None      |  0.1168      | 2.8           | 85.33        |
| t3.large          | 2    | x86_64     | 8.0      | None      |  0.1056      | 2.53          | 77.15        |
| t3a.large         | 2    | x86_64     | 8.0      | None      |  0.0944      | 2.27          | 68.96        |
| t4g.large         | 2    | arm64      | 8.0      | None      |  0.0848      | 2.04          | 61.95        |
| a1.xlarge         | 4    | arm64      | 8.0      | None      |  0.1176      | 2.82          | 85.91        |
| c5.xlarge         | 4    | x86_64     | 8.0      | None      |  0.196       | 4.7           | 143.19       |
| c5a.xlarge        | 4    | x86_64     | 8.0      | None      |  0.176       | 4.22          | 128.58       |
| c5ad.xlarge       | 4    | x86_64     | 8.0      | 150       |  0.202       | 4.85          | 147.57       |
| c5d.xlarge        | 4    | x86_64     | 8.0      | 100       |  0.224       | 5.38          | 163.65       |
| c6a.xlarge        | 4    | x86_64     | 8.0      | None      |  0.1764      | 4.23          | 128.87       |
| c6g.xlarge        | 4    | arm64      | 8.0      | None      |  0.1568      | 3.76          | 114.55       |
| c6gd.xlarge       | 4    | arm64      | 8.0      | 237       |  0.18        | 4.32          | 131.5        |
| c6gn.xlarge       | 4    | arm64      | 8.0      | None      |  0.198       | 4.75          | 144.65       |
| c6i.xlarge        | 4    | x86_64     | 8.0      | None      |  0.196       | 4.7           | 143.19       |
| c6id.xlarge       | 4    | x86_64     | 8.0      | 237       |  0.2352      | 5.64          | 171.83       |
| c6in.xlarge       | 4    | x86_64     | 8.0      | None      |  0.2604      | 6.25          | 190.24       |
| c7g.xlarge        | 4    | arm64      | 8.0      | None      |  0.1666      | 4             | 121.71       |
| c7gd.xlarge       | 4    | arm64      | 8.0      | 237       |  0.2117      | 5.08          | 154.66       |
| c7i-flex.xlarge   | 4    | x86_64     | 8.0      | None      |  0.19555     | 4.69          | 142.86       |
