+---------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type       | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| r7gd.medium         | 1    | arm64      | 8.0      | 59        | N/A          | N/A           | N/A          |
| r8g.medium          | 1    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| im4gn.large         | 2    | arm64      | 8.0      | 937       | N/A          | N/A           | N/A          |
| m4.large            | 2    | x86_64     | 8.0      | None      |  0.129       | 3.1           | 94.24        |
| m5.large            | 2    | x86_64     | 8.0      | None      |  0.216       | 5.18          | 157.8        |
| m5a.large           | 2    | x86_64     | 8.0      | None      |  0.204       | 4.9           | 149.03       |
| m5ad.large          | 2    | x86_64     | 8.0      | 75        |  0.226       | 5.42          | 165.11       |
| m5d.large           | 2    | x86_64     | 8.0      | 75        |  0.238       | 5.71          | 173.87       |
| m5dn.large          | 2    | x86_64     | 8.0      | 75        |  0.267       | 6.41          | 195.06       |
| m5n.large           | 2    | x86_64     | 8.0      | None      |  0.153       | 3.67          | 111.78       |
| m5zn.large          | 2    | x86_64     | 8.0      | None      |  0.3054      | 7.33          | 223.11       |
| m6a.large           | 2    | x86_64     | 8.0      | None      |  0.1116      | 2.68          | 81.53        |
| m6g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| m6gd.large          | 2    | arm64      | 8.0      | 118       | N/A          | N/A           | N/A          |
| m6i.large           | 2    | x86_64     | 8.0      | None      |  0.216       | 5.18          | 157.8        |
| m6id.large          | 2    | x86_64     | 8.0      | 118       |  0.2453      | 5.89          | 179.21       |
| m6idn.large         | 2    | x86_64     | 8.0      | 118       |  0.20475     | 4.91          | 149.58       |
| m6in.large          | 2    | x86_64     | 8.0      | None      |  0.17901     | 4.3           | 130.78       |
| m7a.large           | 2    | x86_64     | 8.0      | None      |  0.14973     | 3.59          | 109.39       |
| m7g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| m7gd.large          | 2    | arm64      | 8.0      | 118       | N/A          | N/A           | N/A          |
| m7i-flex.large      | 2    | x86_64     | 8.0      | None      |  0.21109     | 5.07          | 154.21       |
| m7i.large           | 2    | x86_64     | 8.0      | None      |  0.1302      | 3.12          | 95.12        |
| m8g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| t2.large            | 2    | x86_64     | 8.0      | None      |  0.1216      | 2.92          | 88.84        |
| t3.large            | 2    | x86_64     | 8.0      | None      |  0.1364      | 3.27          | 99.65        |
| t3a.large           | 2    | x86_64     | 8.0      | None      |  0.1255      | 3.01          | 91.69        |
| t4g.large           | 2    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| a1.xlarge           | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c5.xlarge           | 4    | x86_64     | 8.0      | None      |  0.214       | 5.14          | 156.34       |
| c5a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.376       | 9.02          | 274.69       |
| c5ad.xlarge         | 4    | x86_64     | 8.0      | 150       | N/A          | N/A           | N/A          |
| c5d.xlarge          | 4    | x86_64     | 8.0      | 100       |  0.428       | 10.27         | 312.68       |
| c6a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.3766      | 9.04          | 275.13       |
| c6g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c6gd.xlarge         | 4    | arm64      | 8.0      | 237       | N/A          | N/A           | N/A          |
| c6gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c6i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.398       | 9.55          | 290.76       |
| c6id.xlarge         | 4    | x86_64     | 8.0      | 237       |  0.2562      | 6.15          | 187.17       |
| c6in.xlarge         | 4    | x86_64     | 8.0      | None      |  0.4696      | 11.27         | 343.07       |
| c7a.xlarge          | 4    | x86_64     | 8.0      | None      |  0.2584      | 6.2           | 188.78       |
| c7g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7gd.xlarge         | 4    | arm64      | 8.0      | 237       | N/A          | N/A           | N/A          |
| c7gn.xlarge         | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| c7i-flex.xlarge     | 4    | x86_64     | 8.0      | None      |  0.21347     | 5.12          | 155.95       |
| c7i.xlarge          | 4    | x86_64     | 8.0      | None      |  0.2247      | 5.39          | 164.16       |
| c8g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| g5g.xlarge          | 4    | arm64      | 8.0      | None      | N/A          | N/A           | N/A          |
| inf1.xlarge         | 4    | x86_64     | 8.0      | None      | N/A          | N/A           | N/A          |
| c5n.xlarge          | 4    | x86_64     | 10.5     | None      |  0.456       | 10.94         | 333.14       |
| is4gen.large        | 2    | arm64      | 12.0     | 1875      | N/A          | N/A           | N/A          |
| r3.large            | 2    | x86_64     | 15.0     | 32        |  0.3         | 7.2           | 219.17       |
| m1.xlarge           | 4    | x86_64     | 15.0     | 1680      |  0.486       | 11.66         | 355.05       |
| m3.xlarge           | 4    | x86_64     | 15.0     | 80        |  0.385       | 9.24          | 281.27       |
| c3.2xlarge          | 8    | x86_64     | 15.0     | 160       |  0.925       | 22.2          | 675.77       |
| c4.2xlarge          | 8    | x86_64     | 15.0     | None      |  0.504       | 12.1          | 368.2        |
| i3.large            | 2    | x86_64     | 15.2     | 475       |  0.183       | 4.39          | 133.69       |
| r4.large            | 2    | x86_64     | 15.2     | None      |  0.252       | 6.05          | 184.1        |
| x2gd.medium         | 1    | arm64      | 16.0     | 59        | N/A          | N/A           | N/A          |
| x8g.medium          | 1    | arm64      | 16.0     | None      | N/A          | N/A           | N/A          |
| i3en.large          | 2    | x86_64     | 16.0     | 1250      |  0.358       | 8.59          | 261.54       |
| i4g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| i4i.large           | 2    | x86_64     | 16.0     | 468       |  0.201       | 4.82          | 146.84       |
| i7ie.large          | 2    | x86_64     | 16.0     | 1250      |  0.3059      | 7.34          | 223.48       |
| i8g.large           | 2    | arm64      | 16.0     | 468       | N/A          | N/A           | N/A          |
| r5.large            | 2    | x86_64     | 16.0     | None      |  0.152       | 3.65          | 111.05       |
| r5a.large           | 2    | x86_64     | 16.0     | None      |  0.229       | 5.5           | 167.3        |
